17:55:16.452620 mmap(NULL, 8192, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_ANONYMOUS, -1, 0) = 0x7f3b42842000
17:55:16.452681 mmap(NULL, 194944, PROT_READ, MAP_PRIVATE|MAP_DENYWRITE, 3, 0) = 0x7f3b42812000
17:55:16.452733 mmap(0x7f3b42820000, 61440, PROT_READ|PROT_EXEC, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 3, 0xe000) = 0x7f3b42820000
17:55:16.452790 mmap(0x7f3b4282f000, 57344, PROT_READ, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 3, 0x1d000) = 0x7f3b4282f000
17:55:16.452845 mmap(0x7f3b4283d000, 20480, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 3, 0x2a000) = 0x7f3b4283d000
17:55:16.464584 mmap(NULL, 102768, PROT_READ, MAP_PRIVATE|MAP_DENYWRITE, 3, 0) = 0x7f3b427f8000
17:55:16.464720 mmap(0x7f3b427fc000, 61440, PROT_READ|PROT_EXEC, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 3, 0x4000) = 0x7f3b427fc000
17:55:16.464783 mmap(0x7f3b4280b000, 12288, PROT_READ, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 3, 0x13000) = 0x7f3b4280b000
17:55:16.464839 mmap(0x7f3b4280f000, 8192, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 3, 0x16000) = 0x7f3b4280f000
17:55:16.464904 mmap(0x7f3b42811000, 368, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_FIXED|MAP_ANONYMOUS, -1, 0) = 0x7f3b42811000
17:55:16.485523 mmap(NULL, 8192, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_ANONYMOUS, -1, 0) = 0x7f3b427f6000
17:55:16.485671 mmap(NULL, 12288, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_ANONYMOUS, -1, 0) = 0x7f3b427f3000
17:55:17.935541 mmap(NULL, 167936, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_ANONYMOUS, -1, 0) = 0x7f3b427ca000
17:55:18.125888 mmap(NULL, 36864, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_ANONYMOUS|MAP_STACK, -1, 0) = 0x7f3b49f60000
17:55:18.952992 --- SIGCHLD {si_signo=SIGCHLD, si_code=CLD_EXITED, si_pid=4678, si_uid=1000, si_status=0, si_utime=3, si_stime=2} ---
17:55:18.953234 mmap(NULL, 36864, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_ANONYMOUS|MAP_STACK, -1, 0) = 0x7f3b49f60000
17:55:19.036515 --- SIGCHLD {si_signo=SIGCHLD, si_code=CLD_EXITED, si_pid=4679, si_uid=1000, si_status=0, si_utime=3, si_stime=0} ---
17:55:19.041685 +++ exited with 0 +++
