18:06:39.234518 mmap(0x7f4f04485000, 8192, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 27, 0x37000) = 0x7f4f04485000
18:06:39.247134 mmap(NULL, 394760, PROT_READ, MAP_PRIVATE|MAP_DENYWRITE, 27, 0) = 0x7f4f043ec000
18:06:39.247237 mmap(0x7f4f043fc000, 225280, PROT_READ|PROT_EXEC, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 27, 0x10000) = 0x7f4f043fc000
18:06:39.247306 mmap(0x7f4f04433000, 90112, PROT_READ, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 27, 0x47000) = 0x7f4f04433000
18:06:39.247364 mmap(0x7f4f04449000, 16384, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 27, 0x5c000) = 0x7f4f04449000
18:06:39.251717 mmap(NULL, 489152, PROT_READ, MAP_PRIVATE|MAP_DENYWRITE, 27, 0) = 0x7f4f04374000
18:06:39.251919 mmap(0x7f4f04389000, 253952, PROT_READ|PROT_EXEC, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 27, 0x15000) = 0x7f4f04389000
18:06:39.252149 mmap(0x7f4f043c7000, 131072, PROT_READ, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 27, 0x53000) = 0x7f4f043c7000
18:06:39.252261 mmap(0x7f4f043e8000, 16384, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 27, 0x73000) = 0x7f4f043e8000
18:06:39.281219 mmap(NULL, 1762760, PROT_READ, MAP_PRIVATE|MAP_DENYWRITE, 27, 0) = 0x7f4f041c5000
18:06:39.281364 mmap(0x7f4f041e5000, 1318912, PROT_READ|PROT_EXEC, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 27, 0x20000) = 0x7f4f041e5000
18:06:39.281464 mmap(0x7f4f04327000, 282624, PROT_READ, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 27, 0x162000) = 0x7f4f04327000
18:06:39.281523 mmap(0x7f4f0436c000, 32768, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 27, 0x1a6000) = 0x7f4f0436c000
18:06:39.306712 mmap(NULL, 45248, PROT_READ, MAP_PRIVATE|MAP_DENYWRITE, 27, 0) = 0x7f4f14002000
18:06:39.307011 mmap(0x7f4f14003000, 24576, PROT_READ|PROT_EXEC, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 27, 0x1000) = 0x7f4f14003000
18:06:39.307131 mmap(0x7f4f14009000, 8192, PROT_READ, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 27, 0x7000) = 0x7f4f14009000
18:06:39.307190 mmap(0x7f4f1400c000, 8192, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 27, 0x9000) = 0x7f4f1400c000
18:06:39.325104 mmap(NULL, 180240, PROT_READ, MAP_PRIVATE|MAP_DENYWRITE, 27, 0) = 0x7f4f04198000
18:06:39.325239 mmap(0x7f4f0419b000, 102400, PROT_READ|PROT_EXEC, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 27, 0x3000) = 0x7f4f0419b000
18:06:39.325356 mmap(0x7f4f041b4000, 57344, PROT_READ, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 27, 0x1c000) = 0x7f4f041b4000
18:06:39.325414 mmap(0x7f4f041c3000, 8192, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 27, 0x2a000) = 0x7f4f041c3000
18:06:39.349438 mmap(NULL, 340792, PROT_READ, MAP_PRIVATE|MAP_DENYWRITE, 27, 0) = 0x7f4f04144000
18:06:39.349625 mmap(0x7f4f04152000, 204800, PROT_READ|PROT_EXEC, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 27, 0xe000) = 0x7f4f04152000
18:06:39.349717 mmap(0x7f4f04184000, 61440, PROT_READ, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 27, 0x40000) = 0x7f4f04184000
18:06:39.349782 mmap(0x7f4f04193000, 16384, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 27, 0x4e000) = 0x7f4f04193000
